,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
1376,21622_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,29380,0,29380,non-refrigerated warehouse,16768.0,office,6837.0,other,5775.0,30.0,841381.0,0.0,841416.0,0.0,5.87,47.53908726,-122.3198021,POINT (-122.3198021 47.53908726),38
1385,21656,2015,nonresidential,worship facility,3,EAST,1.0,2.0,22688,0,22688,worship facility,22688.0,No information,0.0,No information,0.0,89.0,298063.0,0.0,228649.0,69423.0,6.175000000000001,47.60319489,-122.3204073,POINT (-122.3204073 47.60319489),93
1404,21688,2015,nonresidential,non-refrigerated warehouse,2,SOUTHEAST,1.0,1.0,27435,0,27435,non-refrigerated warehouse,19120.0,medical office,8315.0,No information,0.0,49.0,1231546.0,0.0,621684.0,609888.0,36.72,47.54941353,-122.2866398,POINT (-122.2866398 47.54941353),63
1405,21689,2015,nonresidential,small- and mid-sized office,2,GREATER DUWAMISH,1.0,2.0,41262,0,41262,office,40738.0,No information,0.0,No information,0.0,86.0,1810353.0,0.0,1810428.0,0.0,12.945,47.546925,-122.2871393,POINT (-122.2871393 47.546925),33
1418,21716,2015,nonresidential,small- and mid-sized office,7,LAKE UNION,1.0,2.0,43183,0,43183,office,26580.0,data center,11497.0,No information,0.0,1.0,7542332.0,0.0,6681762.0,860848.0,92.375,47.62047684,-122.3466741,POINT (-122.3466741 47.62047684),62
1421,21723,2015,nonresidential,worship facility,4,NORTH,1.0,3.0,45680,0,45680,worship facility,45680.0,No information,0.0,No information,0.0,81.0,1988784.0,0.0,497853.0,1490952.0,84.735,47.68573889,-122.3184174,POINT (-122.3184174 47.68573889),107
1431,21741_2015,2015,nonresidential,senior care community,7,LAKE UNION,1.0,14.0,724148,71790,652358,senior care community,726000.0,No information,0.0,No information,0.0,12.0,36863348.0,0.0,22919355.0,13944944.0,900.39,47.61927032,-122.33372498,POINT (-122.33372498 47.61927032),9
1435,21768,2015,nonresidential,worship facility,1,SOUTHWEST,1.0,1.0,23562,0,23562,worship facility,18278.0,office,15212.0,No information,0.0,95.0,550767.0,0.0,550790.0,0.0,3.775,47.53442484,-122.3770926,POINT (-122.3770926 47.53442484),58
1439,21774_2015,2015,sps-district k-12,k-12 school,1,DELRIDGE,1.0,2.0,50701,0,50701,k-12 school,53689.0,No information,0.0,No information,0.0,77.0,1921222.0,0.0,1921302.0,0.0,13.39,47.54173518,-122.3737397,POINT (-122.3737397 47.54173518),27
1443,21784,2015,nonresidential,refrigerated warehouse,2,GREATER DUWAMISH,1.0,2.0,45594,0,45594,refrigerated warehouse,45594.0,No information,0.0,No information,0.0,83.0,1272821.0,0.0,1272874.0,0.0,9.145,47.56067088,-122.327112,POINT (-122.327112 47.56067088),101
1445,21786_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,28126,0,28126,non-refrigerated warehouse,21780.0,office,6346.0,No information,0.0,48.0,831577.0,0.0,573206.0,258395.0,17.72,47.56065507,-122.3261256,POINT (-122.3261256 47.56065507),40
1446,21787_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,35000,0,35000,non-refrigerated warehouse,35000.0,No information,0.0,No information,0.0,49.0,400054.0,0.0,400070.0,0.0,2.79,47.54809189,-122.32540894,POINT (-122.32540894 47.54809189),51
1447,21792_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,26150,0,26150,No information,0.0,No information,0.0,No information,0.0,27.0,752991.0,0.0,449580.0,303430.0,19.25,47.549428,-122.3254576,POINT (-122.3254576 47.549428),53
1448,21793,2015,nonresidential,small- and mid-sized office,2,GREATER DUWAMISH,1.0,2.0,24000,0,24000,office,24000.0,No information,0.0,No information,0.0,77.0,1031081.0,0.0,1031124.0,0.0,7.390000000000001,47.54975663,-122.3259884,POINT (-122.3259884 47.54975663),48
1449,21794_2015,2015,nonresidential,k-12 school,3,EAST,1.0,5.0,40809,0,40809,k-12 school,40809.0,No information,0.0,No information,0.0,34.0,2785058.0,0.0,1487573.0,1297547.0,79.28,47.64171214,-122.3173859,POINT (-122.3173859 47.64171214),47
1451,21796,2015,nonresidential,k-12 school,3,EAST,1.0,1.0,83882,0,83882,k-12 school,83882.0,No information,0.0,No information,0.0,72.0,2539565.0,0.0,1515673.0,1023954.0,64.95,47.64171214,-122.3173859,POINT (-122.3173859 47.64171214),110
1470,21879,2015,nonresidential,senior care community,5,NORTHWEST,1.0,2.0,51298,0,51298,senior care community,51298.0,No information,0.0,No information,0.0,81.0,6297193.0,0.0,2064987.0,4232292.0,221.45,47.72620398,-122.3564757,POINT (-122.3564757 47.72620398),61
1472,21883,2015,nonresidential,worship facility,5,NORTHWEST,1.0,1.0,22047,0,22047,worship facility,22898.0,parking,0.0,No information,0.0,100.0,239873.0,0.0,239883.0,0.0,1.76,47.7255637,-122.3577991,POINT (-122.3577991 47.7255637),53
1476,21893_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,31600,0,31600,non-refrigerated warehouse,31600.0,No information,0.0,No information,0.0,2.0,3113412.0,0.0,1665037.0,1448444.0,88.53,47.52183151,-122.32133484,POINT (-122.32133484 47.52183151),36
1477,21894_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,35289,0,35289,non-refrigerated warehouse,35289.0,No information,0.0,No information,0.0,52.0,821046.0,0.0,610664.0,210407.0,15.43,47.51992759,-122.3212647,POINT (-122.3212647 47.51992759),8
1478,21896_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,28920,0,28920,non-refrigerated warehouse,30000.0,No information,0.0,No information,0.0,47.0,1773880.0,0.0,258528.0,1515363.0,82.28,47.51893997,-122.32105255,POINT (-122.32105255 47.51893997),34
1479,21897_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,22176,0,22176,non-refrigerated warehouse,22176.0,No information,0.0,No information,0.0,78.0,499887.0,0.0,101843.0,398048.0,21.85,47.51912749,-122.321168,POINT (-122.321168 47.51912749),37
1480,21898_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,31300,0,31300,non-refrigerated warehouse,31300.0,No information,0.0,No information,0.0,91.0,304248.0,0.0,204772.0,99485.0,6.71,47.51967239,-122.32104492,POINT (-122.32104492 47.51967239),37
1481,21902_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,22000,0,22000,non-refrigerated warehouse,22000.0,parking,0.0,No information,0.0,11.0,731092.0,0.0,731123.0,0.0,5.1,47.51917763,-122.3196011,POINT (-122.3196011 47.51917763),36
1482,21904,2015,nonresidential,small- and mid-sized office,5,NORTH,1.0,3.0,39927,0,39927,office,39541.0,parking,0.0,No information,0.0,43.0,3393302.0,0.0,3393443.0,0.0,24.27,47.7007902,-122.3272232,POINT (-122.3272232 47.7007902),41
1484,21907,2015,nonresidential,medical office,5,NORTH,1.0,2.0,26930,6350,20580,medical office,26930.0,No information,0.0,No information,0.0,62.0,1062109.0,0.0,1062153.0,0.0,7.195,47.70007386,-122.3252445,POINT (-122.3252445 47.70007386),35
1485,21909,2015,nonresidential,medical office,5,NORTH,1.0,2.0,38745,0,38745,medical office,43403.0,parking,0.0,No information,0.0,57.0,2808160.0,0.0,2234953.0,573300.0,47.825,47.7008481,-122.3237648,POINT (-122.3237648 47.7008481),47
1488,21917,2015,nonresidential,medical office,4,NORTHEAST,1.0,3.0,38378,0,38378,medical office,35066.0,parking,3312.0,No information,0.0,85.0,1662723.0,0.0,827027.0,835731.0,51.94,47.66176782,-122.29255,POINT (-122.29255 47.66176782),48
1489,21920_2015,2015,nonresidential,non-refrigerated warehouse,4,NORTHEAST,1.0,2.0,33576,0,33576,non-refrigerated warehouse,33576.0,No information,0.0,No information,0.0,22.0,2069880.0,0.0,806726.0,1263187.0,72.71,47.66278765,-122.2953235,POINT (-122.2953235 47.66278765),35
1490,21921_2015,2015,nonresidential,supermarket/grocery store,4,NORTHEAST,1.0,1.0,33005,0,33005,supermarket/grocery store,34982.0,parking,0.0,No information,0.0,20.0,11007235.0,0.0,7451844.0,3555700.0,240.79,47.66208951,-122.2951049,POINT (-122.2951049 47.66208951),40
1502,21964,2015,nonresidential,worship facility,6,BALLARD,1.0,2.0,21765,0,21765,worship facility,21765.0,No information,0.0,No information,0.0,73.0,490743.0,0.0,135969.0,354779.0,18.585,47.67478203,-122.3824943,POINT (-122.3824943 47.67478203),105
1510,22078,2015,nonresidential,worship facility,3,CENTRAL,1.0,2.0,26560,0,26560,worship facility,26560.0,No information,0.0,No information,0.0,1.0,1941086.0,0.0,567846.0,1373263.0,70.88499999999999,47.6096974,-122.3085133,POINT (-122.3085133 47.6096974),114
1511,22095_2015,2015,nonresidential,non-refrigerated warehouse,4,LAKE UNION,1.0,2.0,20140,0,20140,non-refrigerated warehouse,20140.0,No information,0.0,No information,0.0,24.0,165472.0,0.0,165479.0,0.0,1.15,47.65026727,-122.34173,POINT (-122.34173 47.65026727),58
1522,22138,2015,nonresidential,worship facility,2,SOUTHEAST,1.0,2.0,22029,0,22029,No information,0.0,No information,0.0,No information,0.0,100.0,91996.0,0.0,92000.0,0.0,0.64,47.54179702,-122.2703046,POINT (-122.2703046 47.54179702),88
1523,22139,2015,nonresidential,retail store,2,GREATER DUWAMISH,1.0,2.0,38845,0,38845,retail store,38845.0,parking,6000.0,No information,0.0,84.0,6454983.0,0.0,3228447.0,3226669.0,204.715,47.53847674,-122.2828621,POINT (-122.2828621 47.53847674),23
1524,22142_2015,2015,nonresidential,supermarket/grocery store,2,GREATER DUWAMISH,1.0,1.0,26092,0,26092,supermarket/grocery store,25946.0,parking,0.0,No information,0.0,48.0,7067404.0,0.0,4980311.0,2087300.0,145.57,47.53747211,-122.2830397,POINT (-122.2830397 47.53747211),62
1525,22149,2015,sps-district k-12,k-12 school,5,NORTH,1.0,1.0,38582,0,38582,k-12 school,40374.0,No information,0.0,No information,0.0,88.0,1729493.0,0.0,673321.0,1056200.0,62.665000000000006,47.70716999,-122.2846645,POINT (-122.2846645 47.70716999),60
1527,22163_2015,2015,nonresidential,retail store,2,GREATER DUWAMISH,1.0,1.0,25500,0,25500,No information,0.0,No information,0.0,No information,0.0,85.0,1207866.0,0.0,316429.0,891451.0,49.55,47.55046848,-122.3274704,POINT (-122.3274704 47.55046848),48
1529,22166,2015,nonresidential,retail store,2,GREATER DUWAMISH,1.0,2.0,56193,0,56193,retail store,56193.0,No information,0.0,No information,0.0,38.0,2474457.0,0.0,1858392.0,616143.0,46.29,47.54919217,-122.3219868,POINT (-122.3219868 47.54919217),57
1534,22223,2015,nonresidential,k-12 school,6,BALLARD,1.0,3.0,35448,0,35448,k-12 school,35448.0,No information,0.0,No information,0.0,93.0,1657201.0,0.0,271660.0,1385552.0,67.91,47.67054427,-122.3745471,POINT (-122.3745471 47.67054427),93
1535,22230_2015,2015,nonresidential,supermarket/grocery store,6,BALLARD,1.0,1.0,29214,0,29214,supermarket/grocery store,29214.0,No information,0.0,No information,0.0,13.0,8739511.0,0.0,6113237.0,2626527.0,182.11,47.66960543,-122.3747715,POINT (-122.3747715 47.66960543),49
1538,22240_2015,2015,nonresidential,supermarket/grocery store,6,BALLARD,1.0,1.0,89103,43035,46068,supermarket/grocery store,47034.0,parking,0.0,No information,0.0,32.0,13943008.0,0.0,8301253.0,5642100.0,357.52,47.6682729,-122.3742623,POINT (-122.3742623 47.6682729),15
1541,22261_2015,2015,nonresidential,non-refrigerated warehouse,6,BALLARD,1.0,3.0,41478,0,41478,non-refrigerated warehouse,31932.0,office,9546.0,No information,0.0,2.0,3234871.0,0.0,1804822.0,1430124.0,88.54,47.66431539,-122.3730423,POINT (-122.3730423 47.66431539),40
1542,22264_2015,2015,nonresidential,non-refrigerated warehouse,6,BALLARD,1.0,1.0,39840,0,39840,non-refrigerated warehouse,39840.0,No information,0.0,No information,0.0,2.0,827937.0,0.0,827972.0,0.0,5.77,47.66440226,-122.3724793,POINT (-122.3724793 47.66440226),35
1574,22438_2015,2015,nonresidential,worship facility,6,BALLARD,1.0,1.0,84595,0,84595,worship facility,40445.0,No information,0.0,No information,0.0,44.0,1417778.0,0.0,742085.0,675724.0,41.06,47.66327432,-122.3744499,POINT (-122.3744499 47.66327432),40
1575,22440,2015,nonresidential,retail store,6,BALLARD,1.0,1.0,23500,0,23500,retail store,23500.0,No information,0.0,No information,0.0,48.0,1152890.0,0.0,1089355.0,63580.0,12.129999999999999,47.66320164,-122.3727264,POINT (-122.3727264 47.66320164),19
1576,22441,2015,nonresidential,small- and mid-sized office,6,BALLARD,1.0,2.0,37448,0,37448,office,37448.0,No information,0.0,No information,0.0,88.0,2547582.0,0.0,1937707.0,609955.0,45.9,47.66247704,-122.3695606,POINT (-122.3695606 47.66247704),36
1577,22446,2015,nonresidential,small- and mid-sized office,6,BALLARD,1.0,3.0,24913,0,24913,office,24913.0,No information,0.0,No information,0.0,100.0,238255.0,0.0,196542.0,41721.0,3.59,47.6624069,-122.3730847,POINT (-122.3730847 47.6624069),112
1578,22454,2015,nonresidential,retail store,6,BALLARD,1.0,1.0,22420,0,22420,retail store,23067.0,No information,0.0,No information,0.0,79.0,1482752.0,0.0,979823.0,502969.0,32.665,47.67511967,-122.3654536,POINT (-122.3654536 47.67511967),48
1581,22479_2015,2015,nonresidential,supermarket/grocery store,7,MAGNOLIA / QUEEN ANNE,1.0,1.0,25842,0,25842,supermarket/grocery store,25987.0,No information,0.0,No information,0.0,19.0,9501494.0,0.0,5442492.0,4059226.0,253.53,47.64947283,-122.377859,POINT (-122.377859 47.64947283),54
1583,22486,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,3.0,25859,0,25859,office,25859.0,parking,4000.0,No information,0.0,82.0,957632.0,0.0,764295.0,193369.0,15.25,47.65251735,-122.375861,POINT (-122.375861 47.65251735),33
1584,22502_2015,2015,nonresidential,non-refrigerated warehouse,7,MAGNOLIA / QUEEN ANNE,1.0,1.0,25600,0,25600,non-refrigerated warehouse,20600.0,office,5000.0,No information,0.0,1.0,1631031.0,0.0,1123078.0,507999.0,34.81,47.66217902,-122.3877672,POINT (-122.3877672 47.66217902),41
1586,22509,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,41784,8399,33385,office,33385.0,parking,8399.0,No information,0.0,86.0,1380283.0,0.0,1380340.0,0.0,9.325,47.66078697,-122.385871,POINT (-122.385871 47.66078697),7
1587,22511_2015,2015,nonresidential,non-refrigerated warehouse,7,MAGNOLIA / QUEEN ANNE,1.0,1.0,56884,0,56884,non-refrigerated warehouse,56884.0,No information,0.0,No information,0.0,74.0,1261725.0,0.0,695445.0,566309.0,34.92,47.66189649,-122.3890124,POINT (-122.3890124 47.66189649),55
1590,22519,2015,nonresidential,retail store,6,BALLARD,1.0,1.0,32810,0,32810,retail store,32810.0,No information,0.0,No information,0.0,66.0,1983755.0,0.0,1306809.0,677000.0,45.754999999999995,47.69169639,-122.3761399,POINT (-122.3761399 47.69169639),26
1598,22574,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,2.0,20022,0,20022,office,20784.0,No information,0.0,No information,0.0,80.0,662785.0,0.0,662812.0,0.0,4.6,47.65503237,-122.3739747,POINT (-122.3739747 47.65503237),54
1599,22577,2015,nonresidential,distribution center,7,MAGNOLIA / QUEEN ANNE,1.0,2.0,36498,0,36498,distribution center,18229.0,non-refrigerated warehouse,17200.0,No information,0.0,85.0,507947.0,0.0,319013.0,188947.0,13.535,47.65577157,-122.3726251,POINT (-122.3726251 47.65577157),55
1601,22585,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,30152,5680,24472,office,25184.0,parking,4968.0,No information,0.0,97.0,766628.0,0.0,765668.0,992.0,5.665,47.66036376,-122.38620467,POINT (-122.38620467 47.66036376),8
1602,22607,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,22365,0,22365,office,21617.0,No information,0.0,No information,0.0,95.0,433443.0,0.0,433461.0,0.0,4.045,47.6589265,-122.3838031,POINT (-122.3838031 47.6589265),36
1603,22609,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,30172,0,30172,office,30172.0,No information,0.0,No information,0.0,78.0,965091.0,0.0,965131.0,0.0,6.515000000000001,47.65795612,-122.38373,POINT (-122.38373 47.65795612),21
1607,22650_2015,2015,nonresidential,non-refrigerated warehouse,6,BALLARD,1.0,4.0,42500,0,42500,non-refrigerated warehouse,42500.0,retail store,5091.0,No information,0.0,100.0,226375.0,0.0,226384.0,0.0,1.58,47.66359229,-122.3806023,POINT (-122.3806023 47.66359229),88
1612,22676,2015,nonresidential,small- and mid-sized office,6,BALLARD,1.0,2.0,23500,0,23500,office,23500.0,No information,0.0,No information,0.0,28.0,1641546.0,0.0,1170650.0,470945.0,33.845,47.665006,-122.38025084,POINT (-122.38025084 47.665006),47
1613,22678,2015,nonresidential,small- and mid-sized office,6,BALLARD,1.0,1.0,22282,0,22282,office,22282.0,No information,0.0,No information,0.0,92.0,529806.0,0.0,333542.0,196278.0,14.71,47.66431841,-122.3800014,POINT (-122.3800014 47.66431841),49
1625,22804,2015,nonresidential,small- and mid-sized office,5,NORTH,1.0,2.0,37500,0,37500,office,37500.0,No information,0.0,No information,0.0,60.0,2105835.0,0.0,1626973.0,478929.0,40.519999999999996,47.71890106,-122.2996026,POINT (-122.2996026 47.71890106),84
1628,22810,2015,nonresidential,k-12 school,5,NORTHWEST,1.0,3.0,23983,0,23983,k-12 school,23983.0,No information,0.0,No information,0.0,59.0,1176615.0,0.0,616817.0,559823.0,33.655,47.731823,-122.3262515,POINT (-122.3262515 47.731823),85
1629,22818,2015,nonresidential,distribution center,1,DELRIDGE,1.0,1.0,24100,0,24100,distribution center,20100.0,non-refrigerated warehouse,3500.0,No information,0.0,30.0,642052.0,0.0,254182.0,387880.0,26.43,47.55828486,-122.3523537,POINT (-122.3523537 47.55828486),35
1630,22830,2015,nonresidential,worship facility,1,SOUTHWEST,1.0,1.0,23772,0,23772,worship facility,23772.0,No information,0.0,No information,0.0,89.0,282898.0,0.0,282910.0,0.0,1.335,47.5170917,-122.3779648,POINT (-122.3779648 47.5170917),44
1632,22834_2015,2015,nonresidential,k-12 school,4,NORTHEAST,1.0,2.0,31343,0,31343,k-12 school,51515.0,No information,0.0,No information,0.0,4.0,4034028.0,0.0,1644516.0,2389580.0,138.37,47.66630781,-122.3178809,POINT (-122.3178809 47.66630781),11
1638,22860,2015,nonresidential,mixed use property,6,NORTHWEST,1.0,3.0,55912,22850,33062,parking,24052.0,office,23501.0,retail store,9561.0,58.0,2882757.0,0.0,2882877.0,0.0,18.59,47.68590276,-122.3372976,POINT (-122.3372976 47.68590276),19
1640,22866,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,40571,10849,29722,office,24008.0,No information,0.0,No information,0.0,52.0,1481017.0,0.0,1481078.0,0.0,9.645,47.65708363,-122.3837595,POINT (-122.3837595 47.65708363),32
1641,22867,2015,nonresidential,small- and mid-sized office,7,MAGNOLIA / QUEEN ANNE,1.0,4.0,41707,15659,26048,No information,0.0,No information,0.0,No information,0.0,18.0,1790120.0,0.0,1790194.0,0.0,12.36,47.65649246,-122.3837639,POINT (-122.3837639 47.65649246),32
1643,22883_2015,2015,nonresidential,non-refrigerated warehouse,7,MAGNOLIA / QUEEN ANNE,1.0,2.0,39497,0,39497,non-refrigerated warehouse,25547.0,office,13950.0,No information,0.0,8.0,1795049.0,0.0,1365506.0,429600.0,32.34,47.64878477,-122.3798701,POINT (-122.3798701 47.64878477),60
1656,22940,2015,nonresidential,small- and mid-sized office,5,NORTHWEST,1.0,2.0,27574,0,27574,office,27574.0,No information,0.0,No information,0.0,76.0,1160989.0,0.0,1161037.0,0.0,8.265,47.70794099,-122.3332257,POINT (-122.3332257 47.70794099),33
1660,22953,2015,nonresidential,retail store,5,NORTH,1.0,1.0,24982,0,24982,retail store,24982.0,No information,0.0,No information,0.0,89.0,702385.0,0.0,702414.0,0.0,3.62,47.70745665,-122.32318819,POINT (-122.32318819 47.70745665),50
1662,22955_2015,2015,nonresidential,senior care community,5,NORTH,1.0,5.0,43661,10226,33435,senior care community,43661.0,parking,0.0,No information,0.0,4.0,3922066.0,0.0,2708351.0,1213827.0,83.35,47.71058965,-122.3265178,POINT (-122.3265178 47.71058965),17
1667,22962,2015,nonresidential,small- and mid-sized office,5,NORTHWEST,1.0,3.0,76105,27307,48798,office,76105.0,No information,0.0,No information,0.0,87.0,2709429.0,0.0,2709542.0,0.0,18.064999999999998,47.70838818,-122.3332973,POINT (-122.3332973 47.70838818),28
1675,23011,2015,nonresidential,retail store,5,NORTH,1.0,1.0,41615,0,41615,retail store,41615.0,No information,0.0,No information,0.0,63.0,2063212.0,0.0,2063298.0,0.0,13.815000000000001,47.70724183,-122.322564,POINT (-122.322564 47.70724183),49
1676,23017,2015,nonresidential,medical office,5,NORTH,1.0,3.0,28841,0,28841,medical office,28841.0,No information,0.0,No information,0.0,61.0,1334876.0,0.0,930013.0,404901.0,30.705,47.70661163,-122.32263184,POINT (-122.32263184 47.70661163),27
1683,23040,2015,nonresidential,k-12 school,1,DELRIDGE,1.0,2.0,42975,0,42975,k-12 school,21405.0,No information,0.0,No information,0.0,86.0,1093653.0,0.0,197155.0,896506.0,45.975,47.51711754,-122.3597229,POINT (-122.3597229 47.51711754),91
1687,23051,2015,nonresidential,small- and mid-sized office,1,DELRIDGE,1.0,2.0,30659,0,30659,office,17422.0,non-refrigerated warehouse,16117.0,No information,0.0,9.0,3580035.0,0.0,2463460.0,1116677.0,66.165,47.53292767,-122.3402659,POINT (-122.3402659 47.53292767),27
1690,23065,2015,nonresidential,medical office,5,NORTHWEST,1.0,2.0,34759,0,34759,No information,0.0,No information,0.0,No information,0.0,71.0,1410266.0,0.0,1410325.0,0.0,10.61,47.70558717,-122.3349479,POINT (-122.3349479 47.70558717),36
1691,23071_2015,2015,nonresidential,hospital,5,NORTHWEST,1.0,1.0,415632,0,415632,hospital (general medical & surgical),483520.0,parking,266833.0,No information,0.0,88.0,94178648.0,0.0,42421724.0,51758703.0,3044.63,47.71460657,-122.3368526,POINT (-122.3368526 47.71460657),49
1697,23098_2015,2015,nonresidential,supermarket/grocery store,2,GREATER DUWAMISH,1.0,1.0,21603,0,21603,supermarket/grocery store,21603.0,No information,0.0,No information,0.0,16.0,5807879.0,0.0,4093969.0,1714078.0,119.57,47.57898152,-122.3129112,POINT (-122.3129112 47.57898152),50
1709,23113,2015,nonresidential,medical office,3,EAST,1.0,3.0,591981,0,591981,medical office,520187.0,parking,282392.0,other/specialty hospital,54159.0,61.0,104977248.0,0.0,48861766.0,56117500.0,3279.63,47.61997738,-122.3121244,POINT (-122.3121244 47.61997738),51
1710,23115,2015,nonresidential,distribution center,1,DELRIDGE,1.0,1.0,42900,0,42900,distribution center,43050.0,No information,0.0,No information,0.0,60.0,390726.0,0.0,390742.0,0.0,2.88,47.5315885,-122.3356991,POINT (-122.3356991 47.5315885),36
1717,23158_2015,2015,nonresidential,non-refrigerated warehouse,3,DOWNTOWN,1.0,2.0,25840,0,25840,non-refrigerated warehouse,25840.0,No information,0.0,No information,0.0,92.0,311939.0,0.0,311952.0,0.0,2.17,47.59790914,-122.3154892,POINT (-122.3154892 47.59790914),59
1718,23161,2015,nonresidential,small- and mid-sized office,2,DOWNTOWN,1.0,1.0,45145,0,45145,office,43813.0,No information,0.0,No information,0.0,100.0,1119906.0,0.0,494764.0,625162.0,40.14,47.59711677,-122.3180368,POINT (-122.3180368 47.59711677),27
1720,23163,2015,nonresidential,medical office,3,DOWNTOWN,1.0,4.0,43813,23086,20727,medical office,45145.0,No information,0.0,No information,0.0,76.0,1798899.0,0.0,1798974.0,0.0,12.54,47.59703102,-122.3168033,POINT (-122.3168033 47.59703102),20
1721,23164,2015,nonresidential,small- and mid-sized office,3,DOWNTOWN,1.0,5.0,70332,22095,48237,office,44417.0,parking,25915.0,No information,0.0,87.0,2074152.0,0.0,1942577.0,131656.0,19.825000000000003,47.59726811,-122.3158318,POINT (-122.3158318 47.59726811),14
1737,23204,2015,sps-district k-12,k-12 school,2,GREATER DUWAMISH,1.0,1.0,50546,0,50546,k-12 school,52041.0,No information,0.0,No information,0.0,97.0,971308.0,0.0,970348.0,1000.0,9.485,47.55786816,-122.3185601,POINT (-122.3185601 47.55786816),44
1746,23228_2015,2015,nonresidential,supermarket/grocery store,6,BALLARD,1.0,1.0,45522,0,45522,supermarket/grocery store,45522.0,parking,0.0,No information,0.0,18.0,13010578.0,0.0,7402385.0,5608500.0,349.47,47.69020556,-122.3761123,POINT (-122.3761123 47.69020556),21
1753,23268,2015,nonresidential,small- and mid-sized office,1,GREATER DUWAMISH,1.0,2.0,40657,0,40657,office,40657.0,parking,0.0,No information,0.0,54.0,2920918.0,0.0,2834498.0,86537.0,23.98,47.57006806,-122.3470127,POINT (-122.3470127 47.57006806),18
1765,23297_2015,2015,nonresidential,residence hall/dormitory,3,EAST,1.0,1.0,44086,0,44086,residence hall/dormitory,44091.0,No information,0.0,No information,0.0,31.0,3282191.0,1709038.0,1196273.0,376930.0,160.28,47.60733516,-122.3257991,POINT (-122.3257991 47.60733516),111
1766,23299,2015,nonresidential,small- and mid-sized office,3,EAST,1.0,7.0,54372,20824,33548,office,54372.0,parking,15000.0,No information,0.0,90.0,1563640.0,0.0,1563705.0,0.0,10.344999999999999,47.60652161,-122.32528687,POINT (-122.32528687 47.60652161),45
1776,23313,2015,nonresidential,small- and mid-sized office,3,EAST,1.0,3.0,21282,0,21282,office,19658.0,No information,0.0,No information,0.0,69.0,1228041.0,745172.0,482890.0,0.0,61.555,47.60802721,-122.3228166,POINT (-122.3228166 47.60802721),59
1782,23331,2015,nonresidential,small- and mid-sized office,5,NORTH,1.0,3.0,33580,12990,20590,office,20590.0,parking,12990.0,No information,0.0,88.0,695803.0,0.0,695832.0,0.0,3.8549999999999995,47.72971465,-122.2927811,POINT (-122.2927811 47.72971465),30
1786,23342_2015,2015,nonresidential,non-refrigerated warehouse,5,NORTH,1.0,1.0,21936,0,21936,non-refrigerated warehouse,21936.0,No information,0.0,No information,0.0,99.0,145573.0,0.0,68982.0,76593.0,4.55,47.72068751,-122.3009125,POINT (-122.3009125 47.72068751),38
1799,23400,2015,nonresidential,small- and mid-sized office,1,DELRIDGE,1.0,2.0,66484,0,66484,office,49334.0,non-refrigerated warehouse,18000.0,retail store,9000.0,69.0,3053785.0,0.0,3053912.0,0.0,21.265,47.56876754,-122.3636918,POINT (-122.3636918 47.56876754),27
1800,23404,2015,nonresidential,small- and mid-sized office,3,EAST,1.0,3.0,25151,0,25151,office,24155.0,No information,0.0,No information,0.0,77.0,1543147.0,826402.0,716774.0,0.0,65.41499999999999,47.60776197,-122.3225701,POINT (-122.3225701 47.60776197),56
