,OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,Latitude,Longitude,geometry,BuildingAge
584,778,2015,nonresidential,small- and mid-sized office,2,DOWNTOWN,1.0,6.0,95000,13700,81300,office,84481.0,parking,8474.0,No information,0.0,84.0,4108523.0,0.0,3874637.0,234045.0,35.435,47.59807205,-122.33368683,POINT (-122.33368683 47.59807205),105
585,779,2015,nonresidential,large office,7,DOWNTOWN,1.0,9.0,224857,0,224857,office,204993.0,No information,0.0,No information,0.0,73.0,15036617.0,4128470.0,10908600.0,0.0,392.69,47.60386535,-122.32841507,POINT (-122.32841507 47.60386535),44
586,780,2015,nonresidential,large office,2,DOWNTOWN,1.0,8.0,446261,124788,321473,No information,0.0,No information,0.0,No information,0.0,97.0,13943064.0,0.0,13943642.0,0.0,95.89500000000001,47.59885555,-122.330957,POINT (-122.330957 47.59885555),17
588,783,2015,nonresidential,small- and mid-sized office,2,GREATER DUWAMISH,1.0,6.0,62370,0,62370,office,49473.0,restaurant,10408.0,No information,0.0,30.0,4335178.0,0.0,4335358.0,0.0,30.285,47.58959849,-122.3336722,POINT (-122.3336722 47.58959849),108
589,784_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,73296,0,73296,non-refrigerated warehouse,77800.0,parking,0.0,No information,0.0,82.0,2265487.0,0.0,1160736.0,1104800.0,66.77,47.58481885,-122.3268261,POINT (-122.3268261 47.58481885),55
595,792,2015,nonresidential,small- and mid-sized office,2,GREATER DUWAMISH,1.0,1.0,93610,0,93610,office,101278.0,data center,502.0,No information,0.0,94.0,6102883.0,0.0,4130858.0,1972197.0,142.91,47.55659397,-122.3316788,POINT (-122.3316788 47.55659397),65
596,793,2015,nonresidential,large office,2,GREATER DUWAMISH,1.0,2.0,156188,0,156188,office,141917.0,parking,0.0,No information,0.0,74.0,6233927.0,0.0,5994655.0,239521.0,57.715,47.55267715,-122.32740784,POINT (-122.32740784 47.55267715),42
597,794_2015,2015,nonresidential,non-refrigerated warehouse,2,GREATER DUWAMISH,1.0,1.0,104900,0,104900,non-refrigerated warehouse,56900.0,No information,0.0,No information,0.0,14.0,1796889.0,0.0,1796963.0,0.0,12.53,47.54849916,-122.3243305,POINT (-122.3243305 47.54849916),49
598,796_2015,2015,nonresidential,retail store,2,GREATER DUWAMISH,1.0,5.0,238148,0,238148,retail store,238148.0,No information,0.0,No information,0.0,27.0,11356990.0,0.0,11357464.0,0.0,79.17,47.54698628,-122.3288012,POINT (-122.3288012 47.54698628),40
600,798_2015,2015,nonresidential,non-refrigerated warehouse,1,GREATER DUWAMISH,1.0,1.0,55450,0,55450,non-refrigerated warehouse,34206.0,office,21244.0,No information,0.0,28.0,4247457.0,0.0,2337261.0,1910293.0,117.75,47.53605811,-122.33229,POINT (-122.33229 47.53605811),46
